_id,co_mun,no_mun,ano,variavel,ensino_rede,ensino_tipo,valor
1,2700102,Água Branca,2005,IDEB,Estadual,Ensino Fundamental - Anos Finais,2.5
2,2700102,Água Branca,2005,IDEB,Estadual,Ensino Fundamental - Anos Iniciais,2.6
3,2700102,Água Branca,2005,IDEB,Municipal,Ensino Fundamental - Anos Finais,2.6
4,2700102,Água Branca,2005,IDEB,Municipal,Ensino Fundamental - Anos Iniciais,2.3
5,2700102,Água Branca,2005,IDEB,Pública,Ensino Fundamental - Anos Finais,2.5
6,2700102,Água Branca,2005,IDEB,Pública,Ensino Fundamental - Anos Iniciais,2.4
7,2700102,Água Branca,2007,IDEB,Estadual,Ensino Fundamental - Anos Finais,2.6
8,2700102,Água Branca,2007,IDEB,Estadual,Ensino Fundamental - Anos Iniciais,3.0
9,2700102,Água Branca,2007,IDEB,Municipal,Ensino Fundamental - Anos Finais,2.6
10,2700102,Água Branca,2007,IDEB,Municipal,Ensino Fundamental - Anos Iniciais,2.9
11,2700102,Água Branca,2007,IDEB,Pública,Ensino Fundamental - Anos Finais,2.6
12,2700102,Água Branca,2007,IDEB,Pública,Ensino Fundamental - Anos Iniciais,2.8
13,2700102,Água Branca,2009,IDEB,Estadual,Ensino Fundamental - Anos Finais,2.4
14,2700102,Água Branca,2009,IDEB,Estadual,Ensino Fundamental - Anos Iniciais,1.9
15,2700102,Água Branca,2009,IDEB,Municipal,Ensino Fundamental - Anos Finais,2.4
16,2700102,Água Branca,2009,IDEB,Municipal,Ensino Fundamental - Anos Iniciais,3.2
17,2700102,Água Branca,2009,IDEB,Pública,Ensino Fundamental - Anos Finais,2.4
18,2700102,Água Branca,2009,IDEB,Pública,Ensino Fundamental - Anos Iniciais,3.1
19,2700102,Água Branca,2011,IDEB,Estadual,Ensino Fundamental - Anos Finais,2.3
20,2700102,Água Branca,2011,IDEB,Estadual,Ensino Fundamental - Anos Iniciais,0.0
21,2700102,Água Branca,2011,IDEB,Municipal,Ensino Fundamental - Anos Finais,0.0
22,2700102,Água Branca,2011,IDEB,Municipal,Ensino Fundamental - Anos Iniciais,3.0
23,2700102,Água Branca,2011,IDEB,Pública,Ensino Fundamental - Anos Finais,2.5
24,2700102,Água Branca,2011,IDEB,Pública,Ensino Fundamental - Anos Iniciais,3.0
25,2700102,Água Branca,2013,IDEB,Estadual,Ensino Fundamental - Anos Finais,2.3
26,2700102,Água Branca,2013,IDEB,Estadual,Ensino Fundamental - Anos Iniciais,0.0
27,2700102,Água Branca,2013,IDEB,Municipal,Ensino Fundamental - Anos Finais,0.0
28,2700102,Água Branca,2013,IDEB,Municipal,Ensino Fundamental - Anos Iniciais,3.8
29,2700102,Água Branca,2013,IDEB,Pública,Ensino Fundamental - Anos Finais,0.0
