_id,co_reg_plan,no_reg_plan,ano,variavel,ensino_rede,ensino_tipo,valor
1,2701.0,Alto Sertão,2007,Matrícula,Estadual,Educação Infantil,57.0
2,2701.0,Alto Sertão,2007,Matrícula,Estadual,Educação Profissional,618.0
3,2701.0,Alto Sertão,2007,Matrícula,Estadual,Educação de Jovens e Adultos (EJA),1707.0
4,2701.0,Alto Sertão,2007,Matrícula,Estadual,Ensino Fundamental,8649.0
5,2701.0,Alto Sertão,2007,Matrícula,Estadual,Ensino Médio,3669.0
6,2701.0,Alto Sertão,2007,Matrícula,Municipal,Educação Infantil,4224.0
7,2701.0,Alto Sertão,2007,Matrícula,Municipal,Educação Profissional,812.0
8,2701.0,Alto Sertão,2007,Matrícula,Municipal,Educação de Jovens e Adultos (EJA),3541.0
9,2701.0,Alto Sertão,2007,Matrícula,Municipal,Ensino Fundamental,34051.0
10,2701.0,Alto Sertão,2007,Matrícula,Municipal,Ensino Médio,1458.0
11,2701.0,Alto Sertão,2007,Matrícula,Privada,Educação Infantil,390.0
12,2701.0,Alto Sertão,2007,Matrícula,Privada,Educação Profissional,197.0
13,2701.0,Alto Sertão,2007,Matrícula,Privada,Educação de Jovens e Adultos (EJA),0.0
14,2701.0,Alto Sertão,2007,Matrícula,Privada,Ensino Fundamental,905.0
15,2701.0,Alto Sertão,2007,Matrícula,Privada,Ensino Médio,771.0
16,2701.0,Alto Sertão,2007,Matrícula,Pública,Educação Infantil,4281.0
17,2701.0,Alto Sertão,2007,Matrícula,Pública,Educação Profissional,1430.0
18,2701.0,Alto Sertão,2007,Matrícula,Pública,Educação de Jovens e Adultos (EJA),5248.0
19,2701.0,Alto Sertão,2007,Matrícula,Pública,Ensino Fundamental,42700.0
20,2701.0,Alto Sertão,2007,Matrícula,Pública,Ensino Médio,5127.0
21,2701.0,Alto Sertão,2007,Matrícula,Total,Educação Infantil,4671.0
22,2701.0,Alto Sertão,2007,Matrícula,Total,Educação Profissional,1627.0
23,2701.0,Alto Sertão,2007,Matrícula,Total,Educação de Jovens e Adultos (EJA),5248.0
24,2701.0,Alto Sertão,2007,Matrícula,Total,Ensino Fundamental,43605.0
25,2701.0,Alto Sertão,2007,Matrícula,Total,Ensino Médio,5898.0
26,2701.0,Alto Sertão,2008,Matrícula,Estadual,Educação Infantil,77.0
27,2701.0,Alto Sertão,2008,Matrícula,Estadual,Educação Profissional,578.0
28,2701.0,Alto Sertão,2008,Matrícula,Estadual,Educação de Jovens e Adultos (EJA),1045.0
29,2701.0,Alto Sertão,2008,Matrícula,Estadual,Ensino Fundamental,7975.0
30,2701.0,Alto Sertão,2008,Matrícula,Estadual,Ensino Médio,4739.0
31,2701.0,Alto Sertão,2008,Matrícula,Municipal,Educação Infantil,4832.0
32,2701.0,Alto Sertão,2008,Matrícula,Municipal,Educação Profissional,563.0
33,2701.0,Alto Sertão,2008,Matrícula,Municipal,Educação de Jovens e Adultos (EJA),3571.0
34,2701.0,Alto Sertão,2008,Matrícula,Municipal,Ensino Fundamental,33936.0
35,2701.0,Alto Sertão,2008,Matrícula,Municipal,Ensino Médio,1246.0
36,2701.0,Alto Sertão,2008,Matrícula,Privada,Educação Infantil,465.0
37,2701.0,Alto Sertão,2008,Matrícula,Privada,Educação Profissional,128.0
38,2701.0,Alto Sertão,2008,Matrícula,Privada,Educação de Jovens e Adultos (EJA),0.0
39,2701.0,Alto Sertão,2008,Matrícula,Privada,Ensino Fundamental,1076.0
40,2701.0,Alto Sertão,2008,Matrícula,Privada,Ensino Médio,604.0
41,2701.0,Alto Sertão,2008,Matrícula,Pública,Educação Infantil,4909.0
42,2701.0,Alto Sertão,2008,Matrícula,Pública,Educação Profissional,1141.0
