_id,co_mun,no_mun,ano,variavel,ensino_rede,ensino_tipo,valor
1,2700102,Água Branca,2007,Matrícula,Estadual,Educação de Jovens e Adultos (EJA),386.0
2,2700102,Água Branca,2007,Matrícula,Estadual,Educação Infantil,0.0
3,2700102,Água Branca,2007,Matrícula,Estadual,Ensino Fundamental,1321.0
4,2700102,Água Branca,2007,Matrícula,Estadual,Ensino Médio,742.0
5,2700102,Água Branca,2007,Matrícula,Estadual,Educação Profissional,0.0
6,2700102,Água Branca,2007,Matrícula,Municipal,Educação de Jovens e Adultos (EJA),630.0
7,2700102,Água Branca,2007,Matrícula,Municipal,Educação Infantil,705.0
8,2700102,Água Branca,2007,Matrícula,Municipal,Ensino Fundamental,3828.0
9,2700102,Água Branca,2007,Matrícula,Municipal,Ensino Médio,0.0
10,2700102,Água Branca,2007,Matrícula,Municipal,Educação Profissional,0.0
11,2700102,Água Branca,2007,Matrícula,Privada,Educação de Jovens e Adultos (EJA),0.0
12,2700102,Água Branca,2007,Matrícula,Privada,Educação Infantil,0.0
13,2700102,Água Branca,2007,Matrícula,Privada,Ensino Fundamental,0.0
14,2700102,Água Branca,2007,Matrícula,Privada,Ensino Médio,197.0
15,2700102,Água Branca,2007,Matrícula,Privada,Educação Profissional,197.0
16,2700102,Água Branca,2007,Matrícula,Pública,Educação de Jovens e Adultos (EJA),1016.0
17,2700102,Água Branca,2007,Matrícula,Pública,Educação Infantil,705.0
18,2700102,Água Branca,2007,Matrícula,Pública,Ensino Fundamental,5149.0
19,2700102,Água Branca,2007,Matrícula,Pública,Ensino Médio,742.0
20,2700102,Água Branca,2007,Matrícula,Pública,Educação Profissional,0.0
21,2700102,Água Branca,2007,Matrícula,Total,Educação de Jovens e Adultos (EJA),1016.0
22,2700102,Água Branca,2007,Matrícula,Total,Educação Infantil,705.0
23,2700102,Água Branca,2007,Matrícula,Total,Ensino Fundamental,5149.0
24,2700102,Água Branca,2007,Matrícula,Total,Ensino Médio,939.0
25,2700102,Água Branca,2007,Matrícula,Total,Educação Profissional,197.0
26,2700102,Água Branca,2008,Matrícula,Estadual,Educação de Jovens e Adultos (EJA),0.0
27,2700102,Água Branca,2008,Matrícula,Estadual,Educação Infantil,0.0
28,2700102,Água Branca,2008,Matrícula,Estadual,Ensino Fundamental,1190.0
29,2700102,Água Branca,2008,Matrícula,Estadual,Ensino Médio,821.0
30,2700102,Água Branca,2008,Matrícula,Estadual,Educação Profissional,0.0
31,2700102,Água Branca,2008,Matrícula,Municipal,Educação de Jovens e Adultos (EJA),480.0
32,2700102,Água Branca,2008,Matrícula,Municipal,Educação Infantil,786.0
33,2700102,Água Branca,2008,Matrícula,Municipal,Ensino Fundamental,3856.0
34,2700102,Água Branca,2008,Matrícula,Municipal,Ensino Médio,0.0
35,2700102,Água Branca,2008,Matrícula,Municipal,Educação Profissional,0.0
36,2700102,Água Branca,2008,Matrícula,Privada,Educação de Jovens e Adultos (EJA),0.0
37,2700102,Água Branca,2008,Matrícula,Privada,Educação Infantil,0.0
38,2700102,Água Branca,2008,Matrícula,Privada,Ensino Fundamental,0.0
39,2700102,Água Branca,2008,Matrícula,Privada,Ensino Médio,128.0
40,2700102,Água Branca,2008,Matrícula,Privada,Educação Profissional,128.0
41,2700102,Água Branca,2008,Matrícula,Pública,Educação de Jovens e Adultos (EJA),480.0
42,2700102,Água Branca,2008,Matrícula,Pública,Educação Infantil,786.0
43,2700102,Água Branca,2008,Matrícula,Pública,Ensino Fundamental,5046.0
44,2700102,Água Branca,2008,Matrícula,Pública,Ensino Médio,821.0
45,2700102,Água Branca,2008,Matrícula,Pública,Educação Profissional,0.0
46,2700102,Água Branca,2008,Matrícula,Total,Educação de Jovens e Adultos (EJA),480.0
47,2700102,Água Branca,2008,Matrícula,Total,Educação Infantil,786.0
48,2700102,Água Branca,2008,Matrícula,Total,Ensino Fundamental,5046.0
49,2700102,Água Branca,2008,Matrícula,Total,Ensino Médio,949.0
