CAMPUS;CURSO/TURNO/INTEGRADO;Turno;Código;VAGAS 2024.1;INSCRITOS 2024.1;VAGAS 2023.1;INSCRITOS 2023.1;VAGAS 2022.2;INSCRITOS;VAGAS 2022.1;INSCRITOS;VAGAS 2020.1;VAGAS 2019.1;VAGAS 2018.1;VAGAS 2017.1;VAGAS 2016.1;VAGAS 2015.1;ISENTOS 2020.1;ISENTOS 2019.1;ISENTOS 2018.1;ISENTOS 2017.1;ISENTOS 2016.1;ISENTOS 2015.1;PAGOS 2020.1;PAGOS 2019.1;PAGOS 2018.1;PAGOS 2017.1;PAGOS 2016.1;PAGOS 2015.1;REMANESCENTES 2020.1;REMANESCENTES 2019.1;REMANESCENTES 2018.1;REMANESCENTES 2017.1;REMANESCENTES 2016.1;REMANESCENTES 2015.1;TOTAL 2020.1;TOTAL 2019.1;TOTAL 2018.1;TOTAL 2017.1;TOTAL 2016.1;TOTAL 2015.1
CAMPUS ARAPIRACA;Informática;Vespertino;1050612;36;323;36;302;;;36;459;36;36;36;25;36;36;95;96;103;48;55;8;144;148;126;121;197;194;---;---;---;---;---;---;239;244;229;169;252;202
CAMPUS ARAPIRACA;Informática;Matutino;1050611;36;635;36;342;;;36;217;36;36;36;25;36;36;185;161;184;130;96;18;336;349;289;350;462;340;---;---;---;---;---;---;521;510;473;480;558;358
CAMPUS ARAPIRACA;Eletroeletrônica;Vespertino;1050312;36;220;36;349;;;36;146;36;36;36;25;36;36;52;92;67;39;64;6;99;106;94;92;148;169;---;---;---;---;---;---;151;198;161;131;212;175
CAMPUS ARAPIRACA;Eletroeletrônica;Matutino;1050311;36;272;36;678;;;36;205;36;36;36;25;36;36;76;116;113;63;72;8;189;204;156;243;261;243;---;---;---;---;---;---;265;320;269;306;333;251
CAMPUS BATALHA;Agroindústria;Vespertino;1180912;36;70;36;96;;;36;39;36;40;36;36;36;40;75;118;49;30;3;3;12;50;43;63;65;49;---;---;---;---;---;---;87;168;92;93;68;52
CAMPUS BATALHA;Agroindústria;Matutino;1180911;36;118;36;203;;;36;68;36;40;36;36;36;40;61;105;75;49;25;14;38;44;78;90;137;64;---;---;---;---;---;---;99;149;153;139;162;78
CAMPUS BATALHA;Biotecnologia;Matutino;1180321;36;117;36;127;;;36;54;36;0;0;0;0;0;72;;;;;;29;;;;;;---;---;---;;;;101;;;;;
CAMPUS BENEDITO BENTES;Logística ;Vespertino;1230412;36;91;72;705;-;-;72;474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS BENEDITO BENTES;Logística ;Matutino;1230411;72;246;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS CORURIPE;Edificações;Vespertino;1200712;36;72;36;61;;;40;85;36;36;36;36;36;40;53;112;224;162;118;31;38;44;36;57;60;70;---;---;---;---;---;---;91;156;260;219;178;101
CAMPUS CORURIPE;Edificações;Matutino;1200711;36;118;36;121;;;40;139;36;36;36;36;36;40;50;97;152;221;112;33;61;64;40;82;145;97;---;---;---;---;---;---;111;161;192;303;257;130
CAMPUS CORURIPE;Mecânica;Vespertino;1200322;36;109;36;67;;;40;108;36;40;0;0;0;0;36;63;0;---;---;---;39;21;---;---;---;---;---;---;---;---;---;---;75;84;---;---;---;---
CAMPUS CORURIPE;Mecânica;Matutino;1200321;36;77;36;102;;;40;93;36;40;0;0;0;0;86;95;0;---;---;---;74;24;---;---;---;---;---;---;---;---;---;---;160;119;---;---;---;---
CAMPUS MACEIÓ;Informática;Vespertino;1010612;0;0;0;0;;;---;---;---;---;---;---;36;36;---;---;---;---;20;4;---;--;--;---;307;278;---;---;---;---;---;---;---;---;0;0;327;282
CAMPUS MACEIÓ;Informática;Matutino;1010611;0;0;0;0;;;---;---;---;---;---;---;36;36;---;---;---;---;40;7;---;--;--;---;558;519;---;---;---;---;---;---;---;---;0;0;598;526
CAMPUS MACEIÓ;Informática para Internet ;Vespertino;1010622;0;0;0;0;;;---;---;---;36;36;36;---;---;---;86;47;22;---;---;---;160;124;156;---;---;---;---;---;---;---;---;---;246;171;178;---;---
CAMPUS MACEIÓ;Informática para Internet;Matutino;1010621;0;0;0;0;;;---;---;---;61;61;36;---;---;---;176;181;62;---;---;---;561;549;423;---;---;---;---;---;---;---;---;---;737;730;485;---;---
