_id,co_mun,no_mun,ano,variavel,ensino_rede,ensino_tipo,valor
1,2700102,Água Branca,2007,Taxa de Abandono,Estadual,Ensino Fundamental,0.0
2,2700102,Água Branca,2007,Taxa de Abandono,Estadual,Ensino Médio,30.7
3,2700102,Água Branca,2007,Taxa de Abandono,Municipal,Ensino Fundamental,0.0
4,2700102,Água Branca,2007,Taxa de Abandono,Municipal,Ensino Médio,0.0
5,2700102,Água Branca,2007,Taxa de Abandono,Privada,Ensino Fundamental,0.0
6,2700102,Água Branca,2007,Taxa de Abandono,Privada,Ensino Médio,0.0
7,2700102,Água Branca,2007,Taxa de Abandono,Pública,Ensino Fundamental,0.0
8,2700102,Água Branca,2007,Taxa de Abandono,Pública,Ensino Médio,30.7
9,2700102,Água Branca,2007,Taxa de Abandono,Total,Ensino Fundamental,0.0
10,2700102,Água Branca,2007,Taxa de Abandono,Total,Ensino Médio,30.7
11,2700102,Água Branca,2007,Taxa de Aprovação,Estadual,Ensino Fundamental,96.3
12,2700102,Água Branca,2007,Taxa de Aprovação,Estadual,Ensino Médio,64.8
13,2700102,Água Branca,2007,Taxa de Aprovação,Municipal,Ensino Fundamental,100.0
14,2700102,Água Branca,2007,Taxa de Aprovação,Municipal,Ensino Médio,0.0
15,2700102,Água Branca,2007,Taxa de Aprovação,Privada,Ensino Fundamental,0.0
16,2700102,Água Branca,2007,Taxa de Aprovação,Privada,Ensino Médio,0.0
17,2700102,Água Branca,2007,Taxa de Aprovação,Pública,Ensino Fundamental,99.8
18,2700102,Água Branca,2007,Taxa de Aprovação,Pública,Ensino Médio,64.8
19,2700102,Água Branca,2007,Taxa de Aprovação,Total,Ensino Fundamental,99.8
20,2700102,Água Branca,2007,Taxa de Aprovação,Total,Ensino Médio,64.8
21,2700102,Água Branca,2007,Taxa de Reprovação,Estadual,Ensino Fundamental,3.7
22,2700102,Água Branca,2007,Taxa de Reprovação,Estadual,Ensino Médio,4.5
23,2700102,Água Branca,2007,Taxa de Reprovação,Municipal,Ensino Fundamental,0.0
24,2700102,Água Branca,2007,Taxa de Reprovação,Municipal,Ensino Médio,0.0
25,2700102,Água Branca,2007,Taxa de Reprovação,Privada,Ensino Fundamental,0.0
26,2700102,Água Branca,2007,Taxa de Reprovação,Privada,Ensino Médio,0.0
27,2700102,Água Branca,2007,Taxa de Reprovação,Pública,Ensino Fundamental,0.2
28,2700102,Água Branca,2007,Taxa de Reprovação,Pública,Ensino Médio,4.5
29,2700102,Água Branca,2007,Taxa de Reprovação,Total,Ensino Fundamental,0.2
30,2700102,Água Branca,2007,Taxa de Reprovação,Total,Ensino Médio,4.5
31,2700102,Água Branca,2008,Taxa de Abandono,Estadual,Ensino Fundamental,12.1
32,2700102,Água Branca,2008,Taxa de Abandono,Estadual,Ensino Médio,23.9
33,2700102,Água Branca,2008,Taxa de Abandono,Municipal,Ensino Fundamental,1.2
34,2700102,Água Branca,2008,Taxa de Abandono,Municipal,Ensino Médio,0.0
35,2700102,Água Branca,2008,Taxa de Abandono,Privada,Ensino Fundamental,0.0
