co_mun,no_mun,ano,variavel,inf_categoria,inf_subcategoria,valor
2700102,Água Branca,2012,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,4322
2700102,Água Branca,2012,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,4433
2700102,Água Branca,2012,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Novembro,4395
2700102,Água Branca,2012,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Outubro,4358
2700102,Água Branca,2012,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Setembro,4324
2700102,Água Branca,2012,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Agosto,17097
2700102,Água Branca,2012,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Dezembro,17348
2700102,Água Branca,2012,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Novembro,17255
2700102,Água Branca,2012,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Outubro,17172
2700102,Água Branca,2012,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Setembro,17101
2700102,Água Branca,2013,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Abril,4416
2700102,Água Branca,2013,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,4415
2700102,Água Branca,2013,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,4422
2700102,Água Branca,2013,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Fevereiro,4441
2700102,Água Branca,2013,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Janeiro,4432
2700102,Água Branca,2013,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Julho,4420
2700102,Água Branca,2013,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Junho,4422
2700102,Água Branca,2013,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Maio,4415
2700102,Água Branca,2013,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Março,4426
2700102,Água Branca,2013,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Novembro,4423
2700102,Água Branca,2013,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Outubro,4420
2700102,Água Branca,2013,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Setembro,4414
2700102,Água Branca,2013,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Abril,17196
2700102,Água Branca,2013,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Agosto,17139
2700102,Água Branca,2013,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Dezembro,17097
2700102,Água Branca,2013,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Fevereiro,17353
2700102,Água Branca,2013,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Janeiro,17327
2700102,Água Branca,2013,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Julho,17171
2700102,Água Branca,2013,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Junho,17197
2700102,Água Branca,2013,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Maio,17186
2700102,Água Branca,2013,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Março,17268
2700102,Água Branca,2013,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Novembro,17116
2700102,Água Branca,2013,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Outubro,17125
2700102,Água Branca,2013,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Setembro,17128
2700102,Água Branca,2014,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Abril,4453
2700102,Água Branca,2014,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,4585
2700102,Água Branca,2014,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,4623
2700102,Água Branca,2014,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Fevereiro,4445
2700102,Água Branca,2014,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Janeiro,4431
2700102,Água Branca,2014,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Julho,4525
2700102,Água Branca,2014,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Junho,4460
2700102,Água Branca,2014,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Maio,4458
2700102,Água Branca,2014,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Março,4456
2700102,Água Branca,2014,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Novembro,4620
2700102,Água Branca,2014,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Outubro,4605
2700102,Água Branca,2014,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Setembro,4587
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Abril,17120
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Agosto,17384
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Dezembro,17395
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Fevereiro,17139
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Janeiro,17112
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Julho,17267
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Junho,17120
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Maio,17119
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Março,17138
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Novembro,17400
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Outubro,17384
2700102,Água Branca,2014,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Setembro,17341
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Abril,4528
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,4389
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,4446
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Fevereiro,4513
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Janeiro,4515
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Julho,4385
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Junho,4528
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Maio,4531
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Março,4516
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Novembro,4416
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Outubro,4399
2700102,Água Branca,2015,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Setembro,4401
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Abril,17126
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Agosto,16631
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Dezembro,16704
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Fevereiro,17112
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Janeiro,17136
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Julho,16670
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Junho,17098
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Maio,17120
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Março,17113
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Novembro,16622
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Outubro,16624
2700102,Água Branca,2015,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Setembro,16633
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Abril,4368
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Agosto,4490
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,4220
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Fevereiro,4249
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Janeiro,4241
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Julho,4468
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Junho,4442
2700102,Água Branca,2016,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Maio,4400
