co_mun,no_mun,ano,variavel,economia_categoria,economia_subcategoria,valor
2700102,Água Branca,2002.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,36381.0
2700102,Água Branca,2002.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,11774.0
2700102,Água Branca,2002.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,1339.0
2700102,Água Branca,2002.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,22480.0
2700102,Água Branca,2002.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,35594.0
2700102,Água Branca,2003.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,31836.0
2700102,Água Branca,2003.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,6152.0
2700102,Água Branca,2003.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,939.0
2700102,Água Branca,2003.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,24081.0
2700102,Água Branca,2003.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,31173.0
2700102,Água Branca,2004.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,35366.0
2700102,Água Branca,2004.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,6180.0
2700102,Água Branca,2004.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,1066.0
2700102,Água Branca,2004.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,27205.0
2700102,Água Branca,2004.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,34451.0
2700102,Água Branca,2005.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,46818.0
2700102,Água Branca,2005.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,11298.0
2700102,Água Branca,2005.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,1641.0
2700102,Água Branca,2005.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,32410.0
2700102,Água Branca,2005.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,45349.0
2700102,Água Branca,2006.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,50540.0
2700102,Água Branca,2006.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,9771.0
2700102,Água Branca,2006.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,1930.0
2700102,Água Branca,2006.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,36975.0
2700102,Água Branca,2006.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,48676.0
2700102,Água Branca,2007.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,57624.0
2700102,Água Branca,2007.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,10024.0
2700102,Água Branca,2007.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,1849.0
2700102,Água Branca,2007.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,43789.0
2700102,Água Branca,2007.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,55662.0
2700102,Água Branca,2008.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,69416.0
2700102,Água Branca,2008.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,15891.0
2700102,Água Branca,2008.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,2253.0
2700102,Água Branca,2008.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,48964.0
2700102,Água Branca,2008.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,67108.0
2700102,Água Branca,2009.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,68033.0
2700102,Água Branca,2009.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,11305.0
2700102,Água Branca,2009.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,2559.0
2700102,Água Branca,2009.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,51971.0
2700102,Água Branca,2009.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,65834.0
2700102,Água Branca,2010.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,73774.0
2700102,Água Branca,2010.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,8778.0
2700102,Água Branca,2010.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,2573.0
2700102,Água Branca,2010.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,58837.0
2700102,Água Branca,2010.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,70187.0
2700102,Água Branca,2011.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,128805.0
