_id,co_mun,no_mun,ano,variavel,pop_categoria,pop_subcategoria,valor
1,2700102,Água Branca,2001,População residente estimada,Total,Total,18696
2,2700102,Água Branca,2002,População residente estimada,Total,Total,18766
3,2700102,Água Branca,2003,População residente estimada,Total,Total,18815
4,2700102,Água Branca,2004,População residente estimada,Total,Total,18918
5,2700102,Água Branca,2005,População residente estimada,Total,Total,18975
6,2700102,Água Branca,2006,População residente estimada,Total,Total,19032
7,2700102,Água Branca,2008,População residente estimada,Total,Total,19882
8,2700102,Água Branca,2009,População residente estimada,Total,Total,19989
9,2700102,Água Branca,2011,População residente estimada,Total,Total,19433
10,2700102,Água Branca,2012,População residente estimada,Total,Total,19763
11,2700102,Água Branca,2013,População residente estimada,Total,Total,20545
12,2700102,Água Branca,2014,População residente estimada,Total,Total,20601
13,2700102,Água Branca,2015,População residente estimada,Total,Total,20434
14,2700102,Água Branca,2016,População residente estimada,Total,Total,20422
15,2700102,Água Branca,2017,População residente estimada,Total,Total,20467
16,2700102,Água Branca,2018,População residente estimada,Total,Total,20162
17,2700102,Água Branca,2019,População residente estimada,Total,Total,20196
18,2700102,Água Branca,2020,População residente estimada,Total,Total,20230
19,2700102,Água Branca,2021,População residente estimada,Total,Total,20263
20,2700201,Anadia,2001,População residente estimada,Total,Total,18023
21,2700201,Anadia,2002,População residente estimada,Total,Total,18167
22,2700201,Anadia,2003,População residente estimada,Total,Total,18315
23,2700201,Anadia,2004,População residente estimada,Total,Total,18625
24,2700201,Anadia,2005,População residente estimada,Total,Total,18796
25,2700201,Anadia,2006,População residente estimada,Total,Total,18967
26,2700201,Anadia,2008,População residente estimada,Total,Total,17765
27,2700201,Anadia,2009,População residente estimada,Total,Total,17740
28,2700201,Anadia,2011,População residente estimada,Total,Total,17392
29,2700201,Anadia,2012,População residente estimada,Total,Total,17360
30,2700201,Anadia,2013,População residente estimada,Total,Total,17989
31,2700201,Anadia,2014,População residente estimada,Total,Total,17972
32,2700201,Anadia,2015,População residente estimada,Total,Total,17847
33,2700201,Anadia,2016,População residente estimada,Total,Total,17832
34,2700201,Anadia,2017,População residente estimada,Total,Total,17818
35,2700201,Anadia,2018,População residente estimada,Total,Total,17564
36,2700201,Anadia,2019,População residente estimada,Total,Total,17545
37,2700201,Anadia,2020,População residente estimada,Total,Total,17526
38,2700201,Anadia,2021,População residente estimada,Total,Total,17507
39,2700300,Arapiraca,2001,População residente estimada,Total,Total,188988
40,2700300,Arapiraca,2002,População residente estimada,Total,Total,190999
41,2700300,Arapiraca,2003,População residente estimada,Total,Total,193103
42,2700300,Arapiraca,2004,População residente estimada,Total,Total,197520
43,2700300,Arapiraca,2005,População residente estimada,Total,Total,199964
44,2700300,Arapiraca,2006,População residente estimada,Total,Total,202390
45,2700300,Arapiraca,2008,População residente estimada,Total,Total,208447
46,2700300,Arapiraca,2009,População residente estimada,Total,Total,210521
47,2700300,Arapiraca,2011,População residente estimada,Total,Total,216108
48,2700300,Arapiraca,2012,População residente estimada,Total,Total,218140
49,2700300,Arapiraca,2013,População residente estimada,Total,Total,227640
50,2700300,Arapiraca,2014,População residente estimada,Total,Total,229329
51,2700300,Arapiraca,2015,População residente estimada,Total,Total,231053
52,2700300,Arapiraca,2016,População residente estimada,Total,Total,232671
53,2700300,Arapiraca,2017,População residente estimada,Total,Total,234185
54,2700300,Arapiraca,2018,População residente estimada,Total,Total,230417
55,2700300,Arapiraca,2019,População residente estimada,Total,Total,231747
56,2700300,Arapiraca,2020,População residente estimada,Total,Total,233047
57,2700300,Arapiraca,2021,População residente estimada,Total,Total,234309
58,2700409,Atalaia,2001,População residente estimada,Total,Total,40725
59,2700409,Atalaia,2002,População residente estimada,Total,Total,40970
60,2700409,Atalaia,2003,População residente estimada,Total,Total,41165
61,2700409,Atalaia,2004,População residente estimada,Total,Total,41572
62,2700409,Atalaia,2005,População residente estimada,Total,Total,41798
63,2700409,Atalaia,2006,População residente estimada,Total,Total,42022
64,2700409,Atalaia,2008,População residente estimada,Total,Total,51903
65,2700409,Atalaia,2009,População residente estimada,Total,Total,53023
66,2700409,Atalaia,2011,População residente estimada,Total,Total,44612
67,2700409,Atalaia,2012,População residente estimada,Total,Total,44892
68,2700409,Atalaia,2013,População residente estimada,Total,Total,46787
69,2700409,Atalaia,2014,População residente estimada,Total,Total,47052
70,2700409,Atalaia,2015,População residente estimada,Total,Total,47298
71,2700409,Atalaia,2016,População residente estimada,Total,Total,47528
72,2700409,Atalaia,2017,População residente estimada,Total,Total,47744
73,2700409,Atalaia,2018,População residente estimada,Total,Total,47000
74,2700409,Atalaia,2019,População residente estimada,Total,Total,47185
75,2700409,Atalaia,2020,População residente estimada,Total,Total,47365
76,2700409,Atalaia,2021,População residente estimada,Total,Total,47540
77,2700508,Barra de Santo Antônio,2001,População residente estimada,Total,Total,11745
78,2700508,Barra de Santo Antônio,2002,População residente estimada,Total,Total,12177
79,2700508,Barra de Santo Antônio,2003,População residente estimada,Total,Total,12561
80,2700508,Barra de Santo Antônio,2004,População residente estimada,Total,Total,13366
81,2700508,Barra de Santo Antônio,2005,População residente estimada,Total,Total,13812
82,2700508,Barra de Santo Antônio,2006,População residente estimada,Total,Total,14254
83,2700508,Barra de Santo Antônio,2008,População residente estimada,Total,Total,14159
84,2700508,Barra de Santo Antônio,2009,População residente estimada,Total,Total,14435
85,2700508,Barra de Santo Antônio,2011,População residente estimada,Total,Total,14451
86,2700508,Barra de Santo Antônio,2012,População residente estimada,Total,Total,14665
87,2700508,Barra de Santo Antônio,2013,População residente estimada,Total,Total,15377
88,2700508,Barra de Santo Antônio,2014,População residente estimada,Total,Total,15565
89,2700508,Barra de Santo Antônio,2015,População residente estimada,Total,Total,15742
90,2700508,Barra de Santo Antônio,2016,População residente estimada,Total,Total,15909
91,2700508,Barra de Santo Antônio,2017,População residente estimada,Total,Total,16064
92,2700508,Barra de Santo Antônio,2018,População residente estimada,Total,Total,15792
93,2700508,Barra de Santo Antônio,2019,População residente estimada,Total,Total,15932
94,2700508,Barra de Santo Antônio,2020,População residente estimada,Total,Total,16068
95,2700508,Barra de Santo Antônio,2021,População residente estimada,Total,Total,16201
96,2700607,Barra de São Miguel,2001,População residente estimada,Total,Total,6544
97,2700607,Barra de São Miguel,2002,População residente estimada,Total,Total,6680
98,2700607,Barra de São Miguel,2003,População residente estimada,Total,Total,6819
99,2700607,Barra de São Miguel,2004,População residente estimada,Total,Total,7112
100,2700607,Barra de São Miguel,2005,População residente estimada,Total,Total,7274
101,2700607,Barra de São Miguel,2006,População residente estimada,Total,Total,7435
102,2700607,Barra de São Miguel,2008,População residente estimada,Total,Total,7467
103,2700607,Barra de São Miguel,2009,População residente estimada,Total,Total,7572
104,2700607,Barra de São Miguel,2011,População residente estimada,Total,Total,7666
105,2700607,Barra de São Miguel,2012,População residente estimada,Total,Total,7755
106,2700607,Barra de São Miguel,2013,População residente estimada,Total,Total,8112
107,2700607,Barra de São Miguel,2014,População residente estimada,Total,Total,8191
108,2700607,Barra de São Miguel,2015,População residente estimada,Total,Total,8266
109,2700607,Barra de São Miguel,2016,População residente estimada,Total,Total,8336
110,2700607,Barra de São Miguel,2017,População residente estimada,Total,Total,8401
