_id,co_mun,no_mun,ano,variavel,pop_categoria,pop_subcategoria,valor
1,2700102,Água Branca,2001,População residente estimada,Por idade,De 0 a 4 anos,2590
2,2700102,Água Branca,2001,População residente estimada,Por idade,De 10 a 14 anos,2450
3,2700102,Água Branca,2001,População residente estimada,Por idade,De 15 a 19 anos,2273
4,2700102,Água Branca,2001,População residente estimada,Por idade,De 20 a 24 anos,1717
5,2700102,Água Branca,2001,População residente estimada,Por idade,De 25 a 29 anos,1215
6,2700102,Água Branca,2001,População residente estimada,Por idade,De 30 a 34 anos,1077
7,2700102,Água Branca,2001,População residente estimada,Por idade,De 35 a 39 anos,981
8,2700102,Água Branca,2001,População residente estimada,Por idade,De 40 a 44 anos,772
9,2700102,Água Branca,2001,População residente estimada,Por idade,De 45 a 49 anos,670
10,2700102,Água Branca,2001,População residente estimada,Por idade,De 5 a 9 anos,2457
11,2700102,Água Branca,2001,População residente estimada,Por idade,De 50 a 54 anos,660
12,2700102,Água Branca,2001,População residente estimada,Por idade,De 55 a 59 anos,633
13,2700102,Água Branca,2001,População residente estimada,Por idade,De 60 a 64 anos,505
14,2700102,Água Branca,2001,População residente estimada,Por idade,De 65 a 69 anos,383
15,2700102,Água Branca,2001,População residente estimada,Por idade,De 70 a 74 anos,290
16,2700102,Água Branca,2001,População residente estimada,Por idade,De 75 a 79 anos,247
17,2700102,Água Branca,2001,População residente estimada,Por idade,De 80 anos ou mais,289
18,2700102,Água Branca,2001,População residente estimada,Por idade,Total,19209
19,2700102,Água Branca,2002,População residente estimada,Por idade,De 0 a 4 anos,2552
20,2700102,Água Branca,2002,População residente estimada,Por idade,De 10 a 14 anos,2374
21,2700102,Água Branca,2002,População residente estimada,Por idade,De 15 a 19 anos,2266
22,2700102,Água Branca,2002,População residente estimada,Por idade,De 20 a 24 anos,1757
23,2700102,Água Branca,2002,População residente estimada,Por idade,De 25 a 29 anos,1271
24,2700102,Água Branca,2002,População residente estimada,Por idade,De 30 a 34 anos,1084
25,2700102,Água Branca,2002,População residente estimada,Por idade,De 35 a 39 anos,1000
26,2700102,Água Branca,2002,População residente estimada,Por idade,De 40 a 44 anos,810
27,2700102,Água Branca,2002,População residente estimada,Por idade,De 45 a 49 anos,676
28,2700102,Água Branca,2002,População residente estimada,Por idade,De 5 a 9 anos,2459
29,2700102,Água Branca,2002,População residente estimada,Por idade,De 50 a 54 anos,660
30,2700102,Água Branca,2002,População residente estimada,Por idade,De 55 a 59 anos,635
31,2700102,Água Branca,2002,População residente estimada,Por idade,De 60 a 64 anos,525
32,2700102,Água Branca,2002,População residente estimada,Por idade,De 65 a 69 anos,398
33,2700102,Água Branca,2002,População residente estimada,Por idade,De 70 a 74 anos,295
34,2700102,Água Branca,2002,População residente estimada,Por idade,De 75 a 79 anos,240
35,2700102,Água Branca,2002,População residente estimada,Por idade,De 80 anos ou mais,296
36,2700102,Água Branca,2002,População residente estimada,Por idade,Total,19298
37,2700102,Água Branca,2003,População residente estimada,Por idade,De 0 a 4 anos,2498
38,2700102,Água Branca,2003,População residente estimada,Por idade,De 10 a 14 anos,2309
39,2700102,Água Branca,2003,População residente estimada,Por idade,De 15 a 19 anos,2249
40,2700102,Água Branca,2003,População residente estimada,Por idade,De 20 a 24 anos,1793
41,2700102,Água Branca,2003,População residente estimada,Por idade,De 25 a 29 anos,1331
42,2700102,Água Branca,2003,População residente estimada,Por idade,De 30 a 34 anos,1091
43,2700102,Água Branca,2003,População residente estimada,Por idade,De 35 a 39 anos,1020
44,2700102,Água Branca,2003,População residente estimada,Por idade,De 40 a 44 anos,851
45,2700102,Água Branca,2003,População residente estimada,Por idade,De 45 a 49 anos,681
46,2700102,Água Branca,2003,População residente estimada,Por idade,De 5 a 9 anos,2466
